yr,Real_Year,aflow,mflow,jflow,peak,apesst,maesst,jnesst,appsst,mapsst,jnpsst,jlpsst,pdo
1948,1950,0.952266667,4.161935484,8.881,12.5,7.79,10.61,14.5,6.74,7.28,8.62,9.71,-1.56
1949,1951,1.654166667,6.040967742,6.017333333,8.04,9.12,12.37,14.51,7.24,8.16,8.95,9.77,-1.544
1950,1952,1.6975,5.668709677,6.793,8.33,8.41,11.38,13.46,7.11,8.03,8.61,9.25,-1.012
1951,1953,0.920033333,4.958387097,6.018333333,7.22,9.12,12.19,14.36,7.59,8.48,9.14,9.89,-0.496
1952,1954,0.7964,4.098129032,7.599,9.06,8.38,12.31,13.2,7.5,8.31,8.79,9.23,-0.682
1953,1955,1.2777,3.520967742,7.954,11.3,8.55,10.63,13.01,7.16,7.87,8.67,9.32,-0.472
1954,1956,1.6985,5.796129032,7.742,9.68,9.23,13.1,12.86,6.82,7.89,8.52,9.33,-2.722
1955,1957,1.513166667,8.17,6.817,10.4,8.95,13.08,15.76,7.2,8.5,9.03,9.65,-1.172
1956,1958,2.454666667,6.390322581,7.434333333,9.77,9.74,14.17,17.59,8.79,9.41,10.26,10.45,0.05
1957,1959,1.557633333,4.829677419,7.456666667,8.47,9.29,12.52,14.83,8.04,8.72,9.63,10.02,-0.002
1958,1960,2.528666667,4.393870968,6.975333333,9.34,9.14,11.41,14.43,7.85,9.02,9.23,9.79,0.356
1959,1961,2.112333333,5.250645161,7.788,9.51,8.96,12.33,15.97,8.29,9.08,10,10.29,0.328
1960,1962,2.3756,4.150967742,6.968333333,8.21,9.02,11.71,14.82,7.62,8.47,9.13,10,-1.68
1961,1963,2.132666667,4.419677419,6.665,7.7,9.37,13.22,15.54,8.35,9.4,9.71,10.1,-0.472
1962,1964,1.494266667,3.989032258,10.21866667,11.6,8.74,11.81,14.36,7.9,8.22,9.45,9.91,-0.846
1963,1965,2.0955,5.223548387,7.395333333,8.58,8.7,11.26,15.17,7.68,8.31,9.3,9.89,-0.936
1964,1966,2.445666667,5.292258065,7.032666667,7.9,9.23,11.98,13.49,7.88,8.28,8.95,9.79,-0.534
1965,1967,1.344266667,5.422903226,9.961666667,10.8,8.56,12.16,16.6,7.78,8.74,9.47,10.14,-0.61
1966,1968,1.762333333,5.22516129,7.893333333,8.83,8.83,12.32,14.35,7.64,8.75,9.6,10.47,-0.422
1967,1969,2.330333333,5.149032258,6.523333333,7.82,8.24,12.38,16.13,7.49,8.35,9.4,9.91,-0.884
1968,1970,1.409666667,3.629032258,6.559666667,8.67,9.02,12.1,16.3,7.94,8.39,9.19,9.29,0.78
1969,1971,1.554466667,6.124516129,7.59,8.5,8.3,11.52,13.06,7.07,7.96,8.85,9.56,-1.418
1970,1972,2.099333333,6.445483871,10.75233333,12.9,7.48,12.15,14.73,6.67,7.97,8.73,9.7,-1.806
1971,1973,1.546733333,4.912903226,6.184,7.96,9.37,11.7,13.59,7.6,8.35,8.8,9.18,-0.266
1972,1974,2.319333333,5.889677419,8.434333333,10.8,8.67,11.13,13.62,7.54,8.16,8.89,9.32,-1.268
1973,1975,1.095933333,3.944193548,6.827666667,7.65,7.97,10.87,13.74,7.03,7.85,8.55,9.38,-0.35
1974,1976,2.303666667,7.068387097,7.247666667,9.4,8.67,11.07,13.16,7.29,7.91,8.66,9.21,-1.528
1975,1977,2.346666667,4.713225806,5.668333333,6.77,9.27,11.63,14.7,7.88,8.33,9.08,9.37,1.19
1976,1978,1.956666667,3.954516129,5.727,6.97,9.29,11.69,15.19,8.55,9.15,10.16,10.21,0.344
1977,1979,1.285733333,4.912580645,6.364,8.39,8.8,12.02,14.77,7.5,8.23,9.06,9.87,-0.422
1978,1980,1.760066667,5.122903226,4.904666667,6.07,9.46,12.15,14.59,8.55,8.81,9.6,9.83,0.472
1979,1981,1.877333333,4.950322581,6.263333333,8.37,9.21,12.24,13.02,8.57,9.07,9.49,9.95,0.662
1980,1982,1.0068,5.357096774,8.686666667,9.78,8.6,11.69,16.41,7.89,8.55,9.61,10.24,0.44
