Pop_Name,yr,rec4,rec5,R,S
Early Stuart,1948,179412,18741,198153,10859
Early Stuart,1949,1029437,1271,1030708,168458
Early Stuart,1950,240545,542,241087,25658
Early Stuart,1951,158428,15217,173645,29785
Early Stuart,1952,78012,10560,88572,15484
Early Stuart,1953,537711,2886,540597,78238
Early Stuart,1954,154781,701,155482,18010
Early Stuart,1955,25824,1632,27456,1397
Early Stuart,1956,101035,6393,107428,16661
Early Stuart,1957,1215763,3272,1219035,119273
Early Stuart,1958,102112,240,102352,22196
Early Stuart,1959,14682,6153,20835,1297
Early Stuart,1960,69925,4202,74127,7401
Early Stuart,1961,252123,2208,254331,87782
Early Stuart,1962,67661,5992,73653,14103
Early Stuart,1963,90397,1825,92222,2590
Early Stuart,1964,25940,12949,38889,1300
Early Stuart,1965,415253,1526,416779,11241
Early Stuart,1966,83040,0,83040,5959
Early Stuart,1967,326142,13128,339270,11167
Early Stuart,1968,10412,0,10412,795
Early Stuart,1969,1366181,4452,1370633,48796
Early Stuart,1970,178232,1312,179544,15806
Early Stuart,1971,423510,6993,430503,45610
Early Stuart,1972,32207,0,32207,2253
Early Stuart,1973,1342456,3951,1346407,153876
Early Stuart,1974,141307,2218,143525,21610
Early Stuart,1975,220007,2852,222859,26252
Early Stuart,1976,28800,3034,31834,6792
Early Stuart,1977,752467,8655,761122,53363
Early Stuart,1978,71470,1180,72650,20004
Early Stuart,1979,89807,17889,107696,36170
Early Stuart,1980,37950,25541,63491,7361
Early Stuart,1981,331290,18805,350095,71485
Early Stuart,1982,26796,1007,27803,2158
Early Stuart,1983,176760,10949,187709,13121
Early Stuart,1984,209867,29536,239403,21868
Early Stuart,1985,1179879,26057,1205936,118124
Early Stuart,1986,128280,17603,145883,15160
Early Stuart,1987,494847,31065,525912,75524
Early Stuart,1988,319342,59894,379236,88071
Early Stuart,1989,1091749,45932,1137681,211041
Early Stuart,1990,156963,9121,166084,47065
Early Stuart,1991,129192,14581,143773,85456
Early Stuart,1992,80797,19569,100366,36565
Early Stuart,1993,1652166,161770,1813936,386806
Early Stuart,1994,27990,1034,29024,14499
Early Stuart,1995,170595,18985,189580,57342
Early Stuart,1996,359206,104940,464146,41063
Early Stuart,1997,109249,38121,147370,73416
Early Stuart,1998,24341,4349,28690,9332
Early Stuart,1999,25927,4639,30566,8189
Early Stuart,2000,132457,3417,135874,35333
Early Stuart,2001,216279,35722,252001,82852
Early Stuart,2002,20266,4300,24566,12921
Early Stuart,2003,8431,1588,10019,6932
Early Stuart,2004,32387,5077,37464,5181
Early Stuart,2005,76119,7852,83971,51153
Early Stuart,2006,96107,12590,108697,15914
Early Stuart,2007,12528,147,12675,2376
Early Stuart,2008,183796,9161,192957,14446
Early Stuart,2009,172827,18103,190930,21884
Early Stuart,2010,109758,26470,136228,34198
Early Stuart,2011,2258,235,2493,233
Early Stuart,2012,17601,2129,19730,6812
Early Stuart,2013,20168,6719,26887,39658
Early Stuart,2014,87962,22500,110462,23298
Early Stuart,2015,3417,1852,5269,4060
Early Stuart,2016,18685,154,18839,3651
Early Stuart,2017,77923,4409,82332,7136
Early Stuart,2018,239542,NA,NA,21450
Early Stuart,2019,NA,NA,NA,46
Early Stuart,2020,NA,NA,NA,15
Late Stuart,1948,327,0,327,NA
Late Stuart,1949,1526554,0,1526554,39085
Late Stuart,1950,36671,2419,39090,1834
Late Stuart,1951,56085,7559,63644,1246
Late Stuart,1952,3858,29,3887,16
Late Stuart,1953,1548072,1470,1549542,78686
Late Stuart,1954,135111,2704,137815,2687
Late Stuart,1955,50196,1120,51316,3274
Late Stuart,1956,13472,32630,46102,466
Late Stuart,1957,1327094,1916,1329010,300038
Late Stuart,1958,53044,961,54005,13152
Late Stuart,1959,6092,1233,7325,4090
Late Stuart,1960,6658,2932,9590,1307
Late Stuart,1961,770385,7535,777920,194461
Late Stuart,1962,43107,1917,45024,9073
Late Stuart,1963,11911,113,12024,1092
Late Stuart,1964,1806,1235,3041,824
Late Stuart,1965,1102448,21752,1124200,122786
Late Stuart,1966,71954,1851,73805,4164
Late Stuart,1967,6294,10038,16332,897
Late Stuart,1968,27393,3906,31299,179
Late Stuart,1969,1602892,19888,1622780,114300
Late Stuart,1970,70520,0,70520,8027
Late Stuart,1971,65527,0,65527,725
Late Stuart,1972,16180,2586,18766,3411
Late Stuart,1973,658158,5807,663965,116703
Late Stuart,1974,48593,1268,49861,7371
Late Stuart,1975,214097,478,214575,5679
Late Stuart,1976,3339,0,3339,1674
Late Stuart,1977,1313861,43776,1357637,75962
Late Stuart,1978,69820,8928,78748,7115
Late Stuart,1979,6854,0,6854,16711
Late Stuart,1980,21440,0,21440,287
Late Stuart,1981,1978010,55891,2033901,120124
Late Stuart,1982,52097,8699,60796,8681
Late Stuart,1983,14195,3717,17912,1451
Late Stuart,1984,14522,0,14522,672
Late Stuart,1985,3367086,132788,3499874,159048
Late Stuart,1986,725126,91171,816297,15045
Late Stuart,1987,283932,95155,379087,2392
Late Stuart,1988,207234,0,207234,3638
Late Stuart,1989,5162734,144134,5306868,327098
Late Stuart,1990,372685,16654,389339,111747
Late Stuart,1991,91441,17786,109227,40200
Late Stuart,1992,128970,6429,135399,12422
Late Stuart,1993,3249145,511029,3760174,1184283
Late Stuart,1994,108011,7429,115440,40705
Late Stuart,1995,92713,39375,132088,17181
Late Stuart,1996,810002,212391,1022393,27297
Late Stuart,1997,351715,79099,430814,415149
Late Stuart,1998,264390,12560,276950,67834
Late Stuart,1999,117520,16079,133599,33800
Late Stuart,2000,868657,42459,911116,226240
Late Stuart,2001,415504,89810,505314,179534
Late Stuart,2002,121483,4449,125932,17820
Late Stuart,2003,15962,5810,21772,19208
Late Stuart,2004,263681,19017,282698,51310
Late Stuart,2005,104604,14892,119496,164548
Late Stuart,2006,168308,5288,173596,14283
Late Stuart,2007,5173,8547,13720,4144
Late Stuart,2008,183527,6719,190246,57881
Late Stuart,2009,218405,28780,247185,43271
Late Stuart,2010,284997,34954,319951,43476
Late Stuart,2011,3688,249,3937,778
Late Stuart,2012,31715,1954,33669,31771
Late Stuart,2013,216144,18072,234216,70946
Late Stuart,2014,310940,15903,326843,27869
Late Stuart,2015,8665,900,9565,4350
Late Stuart,2016,11511,0,11511,4672
Late Stuart,2017,465373,31393,496766,80081
Late Stuart,2018,211004,NA,NA,67449
Late Stuart,2019,NA,NA,NA,3045
Late Stuart,2020,NA,NA,NA,2487
Stellako,1948,185175,22002,207177,9242
Stellako,1949,173402,6341,179743,40231
Stellako,1950,903768,30719,934487,77410
Stellako,1951,354049,101292,455341,51413
Stellako,1952,93984,16694,110678,19920
Stellako,1953,156192,18023,174215,20388
Stellako,1954,1140205,67783,1207988,72273
Stellako,1955,602677,27091,629768,29937
Stellako,1956,220400,26243,246643,21686
Stellako,1957,143835,8000,151835,18044
