datetime,site_id,variable,observation
2023-06-08,BARC,chla,1.61000001
2023-06-09,BARC,chla,1.87
2023-06-10,BARC,chla,2.04999995
2023-06-11,BARC,chla,2.26999998
2023-06-12,BARC,chla,1.63
2023-06-13,BARC,chla,3.19000006
2023-06-14,BARC,chla,3.70000005
2023-06-15,BARC,chla,1.67000008
2023-06-16,BARC,chla,3.05999994
2023-06-17,BARC,chla,2
2023-06-18,BARC,chla,2.74000001
2023-06-19,BARC,chla,3.16000009
2023-06-20,BARC,chla,2.05999994
2023-06-21,BARC,chla,2.47000003
2023-06-22,BARC,chla,2.5
2023-06-23,BARC,chla,2.82999992
2023-06-24,BARC,chla,2.28999996
2023-06-25,BARC,chla,2.33999991
2023-06-26,BARC,chla,2.5
2023-07-01,BARC,chla,2.43000007
2023-07-02,BARC,chla,2.68000007
2023-07-03,BARC,chla,1.93000007
2023-07-04,BARC,chla,2.08999991
2023-07-05,BARC,chla,1.66000009
2023-07-06,BARC,chla,1.28999996
2023-07-07,BARC,chla,1.60000002
2023-07-08,BARC,chla,2.26999998
2023-07-09,BARC,chla,1.58999991
2023-07-10,BARC,chla,3.27999997
2023-07-11,BARC,chla,2.49000001
2023-07-12,BARC,chla,2.74000001
2023-07-13,BARC,chla,2.02999997
2023-07-14,BARC,chla,2.03999996
2023-07-15,BARC,chla,2.25
2023-07-16,BARC,chla,2.23000002
2023-07-17,BARC,chla,5.23999977
2023-07-19,BARC,chla,3.92000008
2023-07-20,BARC,chla,1.74000001
2023-07-21,BARC,chla,1.72000003
2023-07-22,BARC,chla,1.91000009
2023-07-23,BARC,chla,2.19000006
2023-07-24,BARC,chla,2.38999987
2023-06-01,SUGG,chla,14.21
2023-06-02,SUGG,chla,15.5200005
2023-06-04,SUGG,chla,20.1299992
2023-06-05,SUGG,chla,20.0599995
2023-06-06,SUGG,chla,19.5900002
2023-06-07,SUGG,chla,18.4300003
2023-06-08,SUGG,chla,14.1800003
2023-06-09,SUGG,chla,14.3599997
2023-06-10,SUGG,chla,14.79
2023-06-11,SUGG,chla,13.7200003
2023-06-12,SUGG,chla,15.6400003
2023-06-13,SUGG,chla,14.3900003
2023-06-14,SUGG,chla,17.5499992
2023-06-15,SUGG,chla,17.6000004
2023-06-16,SUGG,chla,14.3199997
2023-06-17,SUGG,chla,12.0500002
2023-06-18,SUGG,chla,11.0799999
2023-06-19,SUGG,chla,11.1099997
2023-06-20,SUGG,chla,12.5100002
2023-06-21,SUGG,chla,14.1700001
2023-06-22,SUGG,chla,17.2999992
2023-06-23,SUGG,chla,14.1800003
2023-06-24,SUGG,chla,18.9799995
2023-06-25,SUGG,chla,20.6900005
2023-06-26,SUGG,chla,21.4599991
2023-07-01,SUGG,chla,63.25
2023-07-02,SUGG,chla,112.919998
2023-07-03,SUGG,chla,145.789993
2023-07-04,SUGG,chla,71.5299988
2023-07-05,SUGG,chla,76.9400024
2023-07-06,SUGG,chla,13.7399998
2023-07-07,SUGG,chla,17.0499992
2023-07-08,SUGG,chla,20.5100002
2023-07-09,SUGG,chla,23.3400002
2023-07-10,SUGG,chla,30.2700005
2023-07-11,SUGG,chla,17.9799995
2023-07-13,SUGG,chla,20.9200001
2023-07-14,SUGG,chla,19.8199997
2023-07-15,SUGG,chla,18.7399998
2023-07-16,SUGG,chla,30.3999996
2023-07-17,SUGG,chla,23.2399998
2023-07-18,SUGG,chla,23.2900009
2023-07-19,SUGG,chla,19.2600002
