datetime,site_id,variable,observation
2017-08-27,BARC,chla,NA
2017-08-28,BARC,chla,NA
2017-08-29,BARC,chla,NA
2017-08-30,BARC,chla,NA
2017-08-31,BARC,chla,NA
2017-09-01,BARC,chla,NA
2017-09-02,BARC,chla,NA
2017-09-03,BARC,chla,NA
2017-09-04,BARC,chla,NA
2017-09-05,BARC,chla,NA
2017-09-06,BARC,chla,NA
2017-09-07,BARC,chla,NA
2017-09-08,BARC,chla,NA
2017-09-09,BARC,chla,NA
2017-09-10,BARC,chla,NA
2017-09-11,BARC,chla,NA
2017-09-12,BARC,chla,NA
2017-09-13,BARC,chla,NA
2017-09-14,BARC,chla,NA
2017-09-15,BARC,chla,NA
2017-09-16,BARC,chla,NA
2017-09-17,BARC,chla,NA
2017-09-18,BARC,chla,NA
2017-09-19,BARC,chla,NA
2017-09-20,BARC,chla,NA
2017-09-21,BARC,chla,NA
2017-09-22,BARC,chla,NA
2017-09-23,BARC,chla,NA
2017-09-24,BARC,chla,NA
2017-09-25,BARC,chla,NA
2017-09-26,BARC,chla,NA
2017-09-27,BARC,chla,NA
2017-09-28,BARC,chla,NA
2017-09-29,BARC,chla,NA
2017-09-30,BARC,chla,NA
2017-10-01,BARC,chla,NA
2017-10-02,BARC,chla,NA
2017-10-03,BARC,chla,NA
2017-10-04,BARC,chla,NA
2017-10-05,BARC,chla,NA
2017-10-06,BARC,chla,NA
2017-10-07,BARC,chla,NA
2017-10-08,BARC,chla,NA
2017-10-09,BARC,chla,NA
2017-10-10,BARC,chla,NA
2017-10-11,BARC,chla,NA
2017-10-12,BARC,chla,NA
2017-10-13,BARC,chla,NA
2017-10-14,BARC,chla,NA
2017-10-15,BARC,chla,NA
2017-10-16,BARC,chla,NA
2017-10-17,BARC,chla,NA
2017-10-18,BARC,chla,NA
2017-10-19,BARC,chla,NA
2017-10-20,BARC,chla,NA
2017-10-31,BARC,chla,NA
2017-11-02,BARC,chla,0.4
2017-11-04,BARC,chla,NA
2017-11-05,BARC,chla,NA
2017-11-06,BARC,chla,NA
2017-11-08,BARC,chla,0.468
2017-11-21,BARC,chla,NA
2017-11-23,BARC,chla,1.542857142857143
2017-11-25,BARC,chla,1.5781395348837208
2017-11-26,BARC,chla,1.5894285714285714
2017-11-27,BARC,chla,1.728125
2017-11-28,BARC,chla,1.6933333333333334
2017-11-29,BARC,chla,1.5095833333333333
2017-11-30,BARC,chla,1.488235294117647
2017-12-01,BARC,chla,NA
2017-12-02,BARC,chla,NA
2017-12-03,BARC,chla,NA
2017-12-04,BARC,chla,NA
2017-12-05,BARC,chla,NA
2017-12-06,BARC,chla,NA
2017-12-07,BARC,chla,NA
2017-12-08,BARC,chla,NA
