model_id,datetime,reference_datetime,site_id,family,parameter,variable,prediction
your_model_id,2023-05-31,2023-05-30,SUGG,ensemble,1,chla,13.293597825687595
your_model_id,2023-06-01,2023-05-30,SUGG,ensemble,1,chla,13.086858845206777
your_model_id,2023-06-02,2023-05-30,SUGG,ensemble,1,chla,7.000188068239983
your_model_id,2023-06-03,2023-05-30,SUGG,ensemble,1,chla,6.919224740547707
your_model_id,2023-06-04,2023-05-30,SUGG,ensemble,1,chla,10.167654307997955
your_model_id,2023-06-05,2023-05-30,SUGG,ensemble,1,chla,5.761121200680278
your_model_id,2023-06-06,2023-05-30,SUGG,ensemble,1,chla,6.699117138560465
your_model_id,2023-06-07,2023-05-30,SUGG,ensemble,1,chla,6.982077485891432
your_model_id,2023-06-08,2023-05-30,SUGG,ensemble,1,chla,8.660121392517524
your_model_id,2023-06-09,2023-05-30,SUGG,ensemble,1,chla,15.224450603086815
your_model_id,2023-06-10,2023-05-30,SUGG,ensemble,1,chla,11.238170476523726
your_model_id,2023-06-11,2023-05-30,SUGG,ensemble,1,chla,13.154974216700856
your_model_id,2023-06-12,2023-05-30,SUGG,ensemble,1,chla,15.30273106989017
your_model_id,2023-06-13,2023-05-30,SUGG,ensemble,1,chla,15.90955486128968
your_model_id,2023-06-14,2023-05-30,SUGG,ensemble,1,chla,9.80746554688421
your_model_id,2023-06-15,2023-05-30,SUGG,ensemble,1,chla,7.063997171416147
your_model_id,2023-06-16,2023-05-30,SUGG,ensemble,1,chla,9.572637029955214
your_model_id,2023-06-17,2023-05-30,SUGG,ensemble,1,chla,16.02045655882717
your_model_id,2023-06-18,2023-05-30,SUGG,ensemble,1,chla,18.982680661739764
your_model_id,2023-06-19,2023-05-30,SUGG,ensemble,1,chla,20.172170734232424
your_model_id,2023-06-20,2023-05-30,SUGG,ensemble,1,chla,14.798988619904915
your_model_id,2023-06-21,2023-05-30,SUGG,ensemble,1,chla,10.21216706785684
your_model_id,2023-06-22,2023-05-30,SUGG,ensemble,1,chla,7.728346301049457
your_model_id,2023-06-23,2023-05-30,SUGG,ensemble,1,chla,4.9536586934017945
your_model_id,2023-06-24,2023-05-30,SUGG,ensemble,1,chla,8.048574125763539
your_model_id,2023-06-25,2023-05-30,SUGG,ensemble,1,chla,8.121780874341214
your_model_id,2023-06-26,2023-05-30,SUGG,ensemble,1,chla,12.213226929716434
your_model_id,2023-06-27,2023-05-30,SUGG,ensemble,1,chla,7.668945187639829
your_model_id,2023-06-28,2023-05-30,SUGG,ensemble,1,chla,10.998448370909038
your_model_id,2023-06-29,2023-05-30,SUGG,ensemble,1,chla,13.221354828006039
your_model_id,2023-06-30,2023-05-30,SUGG,ensemble,1,chla,14.062318449049297
your_model_id,2023-07-01,2023-05-30,SUGG,ensemble,1,chla,12.893487877033362
your_model_id,2023-07-02,2023-05-30,SUGG,ensemble,1,chla,7.386554646579653
your_model_id,2023-07-03,2023-05-30,SUGG,ensemble,1,chla,7.297437847338802
your_model_id,2023-07-04,2023-05-30,SUGG,ensemble,1,chla,6.384976966828825
your_model_id,2023-07-05,2023-05-30,SUGG,ensemble,1,chla,4.155619439903327
your_model_id,2023-05-31,2023-05-30,SUGG,ensemble,2,chla,13.594815592813529
your_model_id,2023-06-01,2023-05-30,SUGG,ensemble,2,chla,14.060124615831679
your_model_id,2023-06-02,2023-05-30,SUGG,ensemble,2,chla,21.171092161340766
your_model_id,2023-06-03,2023-05-30,SUGG,ensemble,2,chla,23.154350504588376
your_model_id,2023-06-04,2023-05-30,SUGG,ensemble,2,chla,23.43507370565728
your_model_id,2023-06-05,2023-05-30,SUGG,ensemble,2,chla,22.162048980325356
your_model_id,2023-06-06,2023-05-30,SUGG,ensemble,2,chla,18.441669806746823
your_model_id,2023-06-07,2023-05-30,SUGG,ensemble,2,chla,12.70272981013194
your_model_id,2023-06-08,2023-05-30,SUGG,ensemble,2,chla,15.904895560870271
